Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
3	12	23	1	8	7	YAR066W
3	13	6	1	8	8	YGL081W
3	13	8	1	8	9	YGL082W
3	13	12	1	8	10	YIL176C
3	14	3	1	8	11	YNL204C
3	14	6	1	8	12	YDL187C
3	14	14	1	8	13	YCR099C
3	14	17	1	8	14	YLR374C
3	14	18	1	8	15	YOR200W
3	14	21	1	8	16	YBL100C
3	14	23	1	8	17	YIL141W
3	14	24	1	8	18	YOL150C
3	15	3	1	8	19	YMR158W
3	15	8	1	8	20	YDR532C
3	15	12	1	8	21	YJL145W
3	15	21	1	8	22	YBL041W
3	15	23	1	8	23	YFR017C
3	16	3	1	8	24	YNL202W
3	16	4	1	9	1	YLR298C
3	16	9	1	9	2	YLR444C
3	16	11	1	9	3	YML102C-A
3	16	13	1	9	4	YNL043C
3	16	15	1	9	5	YNL140C
3	16	16	1	9	6	YDL118W
3	16	17	1	9	7	YGL260W
3	16	18	1	9	8	YOR224C
3	16	19	1	9	9	YGR228W
3	16	20	1	9	10	YOL037C
3	16	21	1	9	11	YBR009C
3	16	22	1	9	12	YOL135C
4	1	6	1	9	13	YBR198C
4	1	10	1	9	14	YNL241C
4	1	11	1	9	15	YFR011C
4	1	12	1	9	16	YMR024W
4	1	14	1	9	17	YML038C
4	1	17	1	9	18	YPR109W
4	1	19	1	9	19	YCR071C
4	1	21	1	9	20	YDL186W
4	1	23	1	9	21	YPL205C
4	2	5	1	9	22	YDL036C
4	2	7	1	9	23	YER165W
4	2	9	1	9	24	YGL003C
4	2	10	1	10	1	YER042W
4	2	11	1	10	2	YFL026W
4	2	13	1	10	3	YFR004W
4	2	14	1	10	4	YBR101C
4	2	16	1	10	5	YBL032W
4	2	18	1	10	6	YBR095C
4	2	20	1	10	7	YAL058W
4	2	21	1	10	8	YOL063C
4	2	24	1	10	9	YGR103W
4	3	3	1	10	10	YBR205W
4	3	6	1	10	11	YMR257C
4	3	8	1	10	12	YMR284W
4	3	9	1	10	13	YNL015W
4	3	10	1	10	14	YNR030W
4	3	13	1	10	15	YPL278C
4	3	15	1	10	16	YPR073C
4	3	16	1	10	17	YML046W
4	3	18	1	10	18	YLR163C
4	3	19	1	10	19	YDL032W
4	3	20	1	10	20	YLR246W
4	3	21	1	10	21	YOR345C
4	3	24	1	10	22	YML002W
4	4	2	1	10	23	YDL046W
4	4	3	1	10	24	YJL053W
4	4	5	1	11	1	YGL056C
4	4	6	1	11	2	YJL104W
4	4	7	1	11	3	YGL127C
4	4	16	1	11	4	YAL060W
4	4	17	1	11	5	YPL269W
4	4	18	1	11	6	YBL098W
4	4	19	1	11	7	YOL097C
4	4	22	1	11	8	YGR109C
4	5	3	1	11	9	YCL052C
4	5	5	1	11	10	YBR237W
4	5	6	1	11	11	YMR261C
4	5	8	1	11	12	YNL218W
4	5	9	1	11	13	YPL178W
4	5	10	1	11	14	YOL101C
4	5	12	1	11	15	YMR026C
4	5	14	1	11	16	YML043C
4	5	18	1	11	17	YLR069C
4	5	21	1	11	18	YOR333C
4	5	23	1	11	19	YNL074C
4	5	24	1	11	20	YLR397C
4	6	10	1	11	21	YER126C
4	6	11	1	11	22	YER043C
4	6	18	1	11	23	YBR199W
4	7	1	1	11	24	YHR042W
4	7	2	1	12	1	YPL092W
4	7	5	1	12	2	YCR011C
4	7	6	1	12	3	YNL107W
