Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
1	10	4	1	8	8	YDR155C
1	10	5	1	8	9	YKL040C
1	10	6	1	8	10	YDR121W
1	10	7	1	8	11	YPR200C
1	10	8	1	8	12	YDR461W
1	10	9	1	8	13	YPR107C
1	10	10	1	8	14	YEL044W
1	10	11	1	8	15	YOL151W
1	10	14	1	8	16	YHR008C
1	10	15	1	8	17	YBR153W
1	10	16	1	8	18	YGR284C
1	10	17	1	8	19	YBR046C
1	10	18	1	8	20	YGR179C
1	10	19	1	8	21	YBL058W
1	10	20	1	8	22	YIR015W
1	10	22	1	8	23	YIL118W
1	10	24	1	8	24	YIR011C
1	11	1	1	9	1	YJR077C
1	11	2	1	9	2	YDR142C
1	11	3	1	9	3	YKR066C
1	11	4	1	9	4	YDR357C
1	11	5	1	9	5	YLR245C
1	11	6	1	9	6	YDR231C
1	11	7	1	9	7	YLR040C
1	11	9	1	9	8	YLR018C
1	11	11	1	9	9	YLR265C
1	11	13	1	9	10	YMR325W
1	11	14	1	9	11	YOR253W
1	11	16	1	9	12	YOR255W
1	11	18	1	9	13	YOL014W
1	11	19	1	9	14	YGR161C-C
1	11	21	1	9	15	YDR130C
1	11	22	1	9	16	YNL252C
1	11	23	1	9	17	YDR126W
1	11	24	1	9	18	YOL003C
1	12	1	1	9	19	YJR082C
1	12	2	1	9	20	YDR210W
1	12	3	1	9	21	YJR069C
1	12	4	1	9	22	YDR179C
1	12	5	1	9	23	YJR011C
1	12	6	1	9	24	YDR084C
1	12	8	1	10	1	YEL020W-A
1	12	9	1	10	2	YPR165W
1	12	10	1	10	3	YFL064C
1	12	11	1	10	4	YOR085W
1	12	12	1	10	5	YGL098W
1	12	13	1	10	6	YBR217W
1	12	16	1	10	7	YGR007W
1	12	17	1	10	8	YBR050C
1	12	18	1	10	9	YIR044C
1	12	21	1	10	10	YDL177C
1	13	2	1	10	11	YDR088C
1	13	3	1	10	12	YKR077W
1	13	4	1	10	13	YDR224C
1	13	5	1	10	14	YLR281C
1	13	8	1	10	15	YDR315C
1	13	10	1	10	16	YDR280W
1	13	12	1	10	17	YDR289C
1	13	14	1	10	18	YOR094W
1	13	15	1	10	19	YMR073C
1	13	16	1	10	20	YOR104W
1	13	17	1	10	21	YMR156C
1	13	18	1	10	22	YOL012C
1	13	19	1	10	23	YOR196C
1	13	21	1	10	24	YDR123C
1	13	22	1	11	1	YNL286W
1	14	3	1	11	2	YJR014W
1	14	4	1	11	3	YDR201W
1	14	5	1	11	4	YJR101W
1	14	6	1	11	5	YDR177W
1	14	7	1	11	6	YPL276W
1	14	8	1	11	7	YGL070C
1	14	9	1	11	8	YPR174C
1	14	10	1	11	9	YER012W
1	14	11	1	11	10	YPL001W
1	14	12	1	11	11	YGL123W
1	14	14	1	11	12	YGR053C
1	14	16	1	11	13	YGR192C
1	14	17	1	11	14	YBR159W
1	14	18	1	11	15	YJL144W
1	14	20	1	11	16	YIL065C
1	14	21	1	11	17	YCL066W
1	14	22	1	11	18	YIL020C
1	14	24	1	11	19	YJL116C
1	15	1	1	11	20	YKL151C
1	15	2	1	11	21	YDR153C
1	15	6	1	11	22	YDR236C
1	15	7	1	11	23	YLL060C
1	15	8	1	11	24	YDR361C
1	15	9	1	12	1	YLR307W
1	15	10	1	12	2	YDR353W
1	15	11	1	12	3	YLR215C
1	15	12	1	12	4	YDR331W
1	15	13	1	12	5	YMR260C
1	15	14	1	12	6	YOR215C
1	15	16	1	12	7	YOR281C
1	15	18	1	12	8	YNL113W
1	15	19	1	12	9	YPL145C
1	15	22	1	12	10	YNR064C
1	15	23	1	12	11	YDR214W
1	15	24	1	12	12	YOL022C
1	16	2	1	12	13	YDR070C
1	16	3	1	12	14	YJR073C
1	16	4	1	12	15	YDR073W
1	16	5	1	12	16	YKR060W
1	16	6	1	12	17	YDR140W
1	16	7	1	12	18	YPR193C
